,Kingdom,Phylum,Class,Order,Family,Genus,predicted_copy_number
ASV6891,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA,1.730704497
ASV6892,Bacteria,Latescibacterota,NA,NA,NA,NA,1.683619937
ASV6893,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,1.974430622
ASV6894,Bacteria,Firmicutes,Bacilli,NA,NA,NA,2.182925023
ASV6895,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA,1.376131043
ASV6896,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,BSV13,1.847604737
ASV6897,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,AKYH767,NA,2.092210951
ASV6898,Bacteria,Patescibacteria,Parcubacteria,Candidatus Azambacteria,NA,NA,2.246336232
ASV6899,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,NA,3.05172387
ASV6900,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,2.515771328
ASV6901,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Simkaniaceae,NA,1.460190019
ASV6902,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,NA,NA,1.87090325
ASV6903,Bacteria,NA,NA,NA,NA,NA,2.586876885
ASV6904,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,WWH38,NA,2.230735312
ASV6905,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA,1.575298739
ASV6906,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,B1-7BS,NA,3.622083261
ASV6907,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SM2D12,NA,2.088475275
ASV6908,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup 10,2.254100028
ASV6909,Bacteria,NA,NA,NA,NA,NA,4.425375328
ASV6910,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,NA,1.782423006
ASV6911,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,2.255086036
ASV6912,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,NA,1.879215042
ASV6913,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,2.893248045
ASV6914,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Ellin6067,2.453649569
ASV6915,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12 marine group,NA,2.396116926
ASV6916,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,NA,1.420245229
ASV6917,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Methylacidiphilales,Methylacidiphilaceae,NA,1.341541777
ASV6918,Bacteria,Chloroflexi,Anaerolineae,SBR1031,NA,NA,3.017003496
ASV6919,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA,2.299401342
ASV6920,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,1.70456611
ASV6921,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Methylacidiphilales,Methylacidiphilaceae,NA,2.548153668
ASV6922,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,NA,NA,1.565054098
ASV6923,Bacteria,Patescibacteria,Parcubacteria,Candidatus Zambryskibacteria,NA,NA,1.747589405
ASV6924,Bacteria,Firmicutes,Limnochordia,Limnochordales,Limnochordaceae,NA,3.955125021
ASV6925,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,NA,3.338111581
ASV6926,Bacteria,Acidobacteriota,Acidobacteriae,Subgroup 2,NA,NA,1.79608281
ASV6927,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA,1.855112405
ASV6928,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata,2.037248797
ASV6929,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Methylacidiphilales,Methylacidiphilaceae,NA,1.266011525
ASV6930,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,NA,3.133892163
ASV6931,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,2.135928537
ASV6932,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,2.143293412
ASV6933,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA,1.991339913
ASV6934,Bacteria,NA,NA,NA,NA,NA,1.698963234
ASV6935,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,3.419204865
ASV6936,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Cellvibrionaceae,Cellvibrio,3.543654893
ASV6937,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,NA,NA,1.621832015
ASV6938,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Roseimicrobium,2.342703692
ASV6939,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Methylacidiphilales,Methylacidiphilaceae,NA,1.245220337
ASV6940,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12 marine group,NA,1.774994407
ASV6941,Bacteria,Actinobacteriota,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Nonomuraea,4.019727927
ASV6942,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,NA,NA,2.134645132
ASV6943,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,KD3-10,2.590454678
ASV6944,Bacteria,Proteobacteria,NA,NA,NA,NA,3.518848546
ASV6945,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,2.187588565
ASV6946,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,2.530657387
ASV6947,Bacteria,Armatimonadota,Chthonomonadetes,Chthonomonadales,NA,NA,3.677581201
ASV6948,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,NA,1.62724799
ASV6949,Bacteria,Acidobacteriota,Holophagae,Holophagales,Holophagaceae,NA,4.946318654
ASV6950,Bacteria,Chloroflexi,Ktedonobacteria,C0119,NA,NA,3.501025734
ASV6951,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA,NA,3.310818459
ASV6952,Bacteria,Chloroflexi,JG30-KF-CM66,NA,NA,NA,1.613697046
ASV6953,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,1.783849785
ASV6954,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SM2D12,NA,0.896156428
ASV6955,Bacteria,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,Candidatus Paracaedibacter,1.780483898
ASV6956,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Xiphinematobacteraceae,Candidatus Xiphinematobacter,1.478101052
ASV6957,Bacteria,Proteobacteria,Alphaproteobacteria,Tistrellales,Geminicoccaceae,Candidatus Alysiosphaera,2.381366585
ASV6958,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,2.693992429
ASV6959,Bacteria,Patescibacteria,Parcubacteria,Candidatus Zambryskibacteria,NA,NA,1.981420023
ASV6960,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,NA,2.1139257
ASV6961,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,NA,3.159561151
ASV6962,Bacteria,Planctomycetota,Phycisphaerae,S-70,NA,NA,1.167692221
ASV6963,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,1.812090933
ASV6964,Bacteria,Planctomycetota,BD7-11,NA,NA,NA,1.120907674
ASV6965,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,NA,NA,1.752051973
ASV6966,Bacteria,Chloroflexi,JG30-KF-CM66,NA,NA,NA,2.225985237
ASV6967,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,NA,NA,2.086657587
ASV6968,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,4.410205299
ASV6969,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,LWQ8,NA,2.089010781
ASV6970,Bacteria,NA,NA,NA,NA,NA,1.879031059
ASV6971,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,NA,NA,1.579040883
ASV6972,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4 lineage,1.175870662
ASV6973,Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup 17,NA,NA,2.014368034
ASV6974,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata,2.127126923
ASV6975,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,cvE6,NA,2.678256097
ASV6976,Bacteria,Planctomycetota,OM190,NA,NA,NA,1.979246594
ASV6977,Bacteria,NA,NA,NA,NA,NA,3.082443654
ASV6978,Bacteria,Proteobacteria,Alphaproteobacteria,Holosporales,Holosporaceae,NA,2.495171299
ASV6979,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Candidatus Ovatusbacter,1.591790305
ASV6980,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA,2.208708461
ASV6981,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Aquicella,2.207873494
ASV6982,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,4.22479626
ASV6983,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,2.47678411
ASV6984,Bacteria,Planctomycetota,Pla4 lineage,NA,NA,NA,2.250874578
ASV6985,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,1.64253395
ASV6986,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,Terrimicrobium,1.688360474
ASV6987,Bacteria,Acidobacteriota,Blastocatellia,Nov-24,NA,NA,1.524219411
ASV6988,Bacteria,Elusimicrobiota,Lineage IIb,NA,NA,NA,1.139440925
ASV6989,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Parachlamydiaceae,NA,2.867035532
ASV6990,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,NA,NA,4.092776463
ASV6991,NA,NA,NA,NA,NA,NA,2.87227578
ASV6992,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup 10,2.945828701
ASV6993,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Rhizorhapis,2.343058267
ASV6994,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,1.507363965
ASV6995,Bacteria,Desulfobacterota,Desulfuromonadia,Geobacterales,Pseudopelobacteraceae,Pseudopelobacter,2.555816178
ASV6996,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,LWQ8,NA,1.621337384
ASV6997,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,NA,3.601249403
ASV6998,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Aquicella,3.088624628
ASV6999,Bacteria,Bacteroidota,Kapabacteria,Kapabacteriales,NA,NA,1.982141593
ASV7000,Bacteria,WS2,NA,NA,NA,NA,2.95167502
ASV7001,Bacteria,FCPU426,NA,NA,NA,NA,3.480666189
ASV7002,Bacteria,Acidobacteriota,Blastocatellia,Nov-24,NA,NA,2.962477141
ASV7003,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,NA,4.13197815
ASV7004,Bacteria,Actinobacteriota,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Streptosporangium,4.885942207
ASV7005,Bacteria,Patescibacteria,Parcubacteria,Candidatus Zambryskibacteria,NA,NA,1.926201819
ASV7006,Bacteria,Planctomycetota,OM190,NA,NA,NA,2.665489578
ASV7007,Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Solimonadaceae,Polycyclovorans,2.463709782
ASV7008,Bacteria,Proteobacteria,Alphaproteobacteria,Tistrellales,Geminicoccaceae,Candidatus Alysiosphaera,2.750487456
ASV7009,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Candidimonas,3.531916327
ASV7010,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9 marine group,NA,1.828932926
ASV7011,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,2.109847949
ASV7012,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,NA,NA,1.703900775
ASV7013,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,NA,NA,2.805701939
ASV7014,Bacteria,NA,NA,NA,NA,NA,1.820114668
ASV7015,Bacteria,Bacteroidota,Kryptonia,Kryptoniales,BSV26,NA,1.728576148
ASV7016,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA,1.5090587
ASV7017,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,2.505374838
ASV7018,Bacteria,Planctomycetota,Phycisphaerae,Pla1 lineage,NA,NA,1.665110977
ASV7019,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,37-13,NA,1.612361213
ASV7020,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Parachlamydiaceae,NA,2.321515771
ASV7021,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,1.793712647
ASV7022,Bacteria,Zixibacteria,NA,NA,NA,NA,2.223144885
ASV7023,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SM2D12,NA,2.668925752
ASV7024,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,2.644722315
ASV7025,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,1.70409587
ASV7026,Bacteria,Actinobacteriota,MB-A2-108,NA,NA,NA,2.783034732
ASV7027,Bacteria,Deinococcota,Deinococci,Thermales,Thermaceae,Thermus,2.065324397
ASV7028,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,2.851826745
ASV7029,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,NA,6.934577902
ASV7030,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,2.088693063
ASV7031,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12 marine group,NA,1.745143205
ASV7032,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,1.700947716
ASV7033,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Simkaniaceae,NA,2.366866675
ASV7034,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,2.064032357
ASV7035,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,cvE6,NA,1.975070425
ASV7036,Bacteria,Chloroflexi,JG30-KF-CM66,NA,NA,NA,2.617099006
ASV7037,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,2.291669475
ASV7038,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,YM_S32_TM7_50_20,NA,2.046468966
ASV7039,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA,2.285115933
ASV7040,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,NA,NA,2.443867649
ASV7041,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Rickettsiella,2.883273076
ASV7042,Bacteria,Chloroflexi,NA,NA,NA,NA,1.979499347
ASV7043,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,2.607119353
ASV7044,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Aquicella,1.839042457
ASV7045,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,NA,2.435013736
ASV7046,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,CL500-3,3.167201043
ASV7047,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,NA,NA,1.473558557
ASV7048,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,NA,NA,2.138773088
ASV7049,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,1.580548113
ASV7050,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,1.694669899
ASV7051,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,2.46785732
ASV7052,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4 lineage,1.526659244
ASV7053,Bacteria,Armatimonadota,Chthonomonadetes,Chthonomonadales,NA,NA,2.780419344
ASV7054,Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Rhizocola,2.671784523
ASV7055,Bacteria,Chloroflexi,Ktedonobacteria,C0119,NA,NA,3.69337764
ASV7056,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,NA,2.262762054
ASV7057,Bacteria,Entotheonellaeota,Entotheonellia,Entotheonellales,Entotheonellaceae,NA,2.770435057
ASV7058,Bacteria,Patescibacteria,Parcubacteria,NA,NA,NA,2.092212703
ASV7059,Bacteria,Sumerlaeota,Sumerlaeia,Sumerlaeales,Sumerlaeaceae,Sumerlaea,2.267238613
ASV7060,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium,1.688551987
ASV7061,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Methylacidiphilales,Methylacidiphilaceae,NA,1.197919955
ASV7062,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Aquicella,3.133782232
ASV7063,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,NA,NA,1.925217017
ASV7064,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,1.622267873
ASV7065,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,NA,NA,2.119771429
ASV7066,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA,1.383237295
ASV7067,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Ellin517,2.581553313
ASV7068,Bacteria,Chloroflexi,Ktedonobacteria,C0119,NA,NA,3.233775693
ASV7069,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,NA,2.407707125
ASV7070,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,WWH38,NA,2.237128128
ASV7071,Bacteria,Patescibacteria,Berkelbacteria,NA,NA,NA,3.270146497
ASV7072,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,NA,NA,2.40892106
ASV7073,Bacteria,Patescibacteria,Parcubacteria,NA,NA,NA,1.847306848
ASV7074,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,LWQ8,NA,2.216334715
ASV7075,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,cvE6,NA,2.501215098
ASV7076,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,NA,NA,1.945647622
ASV7077,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Bacteriovorax,2.154622243
ASV7078,Bacteria,Patescibacteria,Parcubacteria,Candidatus Jorgensenbacteria,NA,NA,4.534081868
ASV7079,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,NA,2.982601228
ASV7080,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Parachlamydiaceae,Neochlamydia,1.379962837
ASV7081,Bacteria,Latescibacterota,NA,NA,NA,NA,2.734422682
ASV7082,Bacteria,Cyanobacteria,Vampirivibrionia,Vampirovibrionales,Vampirovibrionaceae,NA,1.785384136
ASV7083,Bacteria,Armatimonadota,NA,NA,NA,NA,4.668067118
ASV7084,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,NA,1.791940356
ASV7085,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA,1.878233679
ASV7086,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,2.66812717
ASV7087,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,2.015094891
ASV7088,Bacteria,Elusimicrobiota,Lineage IIa,NA,NA,NA,1.495108839
ASV7089,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,NA,3.408006235
ASV7090,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,AKYH767,NA,3.23601781
ASV7091,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,NA,3.854147359
ASV7092,Bacteria,Myxococcota,Polyangia,Nannocystales,Nannocystaceae,Nannocystis,2.088752798
ASV7093,Bacteria,NA,NA,NA,NA,NA,2.494572577
ASV7094,Bacteria,Patescibacteria,Microgenomatia,Candidatus Woesebacteria,NA,NA,2.273890062
ASV7095,Bacteria,Patescibacteria,Parcubacteria,Candidatus Zambryskibacteria,NA,NA,1.9046911
ASV7096,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,1.919464484
ASV7097,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,1.582143356
ASV7098,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,NA,NA,1.526254111
ASV7099,Bacteria,Firmicutes,Clostridia,Oscillospirales,Hungateiclostridiaceae,NA,2.758596376
ASV7100,Bacteria,NA,NA,NA,NA,NA,3.246228943
ASV7101,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,BSV13,2.290424978
ASV7102,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,2.361636176
ASV7103,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,1.880664328
ASV7104,Bacteria,Gemmatimonadota,BD2-11 terrestrial group,NA,NA,NA,1.350280004
ASV7105,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,NA,3.553931146
ASV7106,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolinea,2.068661814
ASV7107,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,2.237818637
ASV7108,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,2.01194654
ASV7109,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,YM_S32_TM7_50_20,NA,2.627815944
ASV7110,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylobacter,3.599185274
ASV7111,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,3.289522381
ASV7112,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Fimbriiglobus,1.230539986
ASV7113,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,BSV13,2.253445327
ASV7114,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,1.119849134
ASV7115,Bacteria,NA,NA,NA,NA,NA,1.571959632
ASV7116,Bacteria,NA,NA,NA,NA,NA,3.313582515
ASV7117,Bacteria,Planctomycetota,Phycisphaerae,Pla1 lineage,NA,NA,1.687041393
ASV7118,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,1.640062025
ASV7119,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,NA,NA,2.486107997
ASV7120,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,NA,9.86652484
ASV7121,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,env.OPS 17,NA,1.72717276
ASV7122,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,2.106631258
ASV7123,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,OM27 clade,1.839062436
ASV7124,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Acidibacter,1.557509475
ASV7125,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,NA,3.320144335
ASV7126,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,1.26111094
ASV7127,Bacteria,NA,NA,NA,NA,NA,1.829148806
ASV7128,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,2.170713651
ASV7129,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Candidatus Trichorickettsia,1.033230195
ASV7130,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,NA,2.230405112
ASV7131,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA,2.302717066
ASV7132,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA,NA,2.27806033
ASV7133,Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,1.183114916
ASV7134,Bacteria,Chloroflexi,JG30-KF-CM66,NA,NA,NA,1.571027324
ASV7135,Bacteria,Firmicutes,Bacilli,Thermoactinomycetales,Thermoactinomycetaceae,Kroppenstedtia,3.49766927
ASV7136,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,1.589191822
ASV7137,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,NA,2.201207405
ASV7138,Bacteria,Myxococcota,Polyangia,Blfdi19,NA,NA,1.46590352
ASV7139,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,NA,1.349994245
ASV7140,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,2.471970903
ASV7141,Bacteria,Planctomycetota,OM190,NA,NA,NA,2.185668159
ASV7142,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,FFCH5858,2.180372271
ASV7143,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,4.778097583
ASV7144,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Phycisphaera,2.510754788
ASV7145,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium,4.02438515
ASV7146,Bacteria,Acidobacteriota,Acidobacteriae,AKIW659,NA,NA,1.442062241
ASV7147,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,1.787110813
